,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
1,pj5zb8yssq,beachs@fakecollege.ac.uk,A,Shelbie,Beach,78,80,81,100,39,100,20,75,8,3,0,10,8,0.39,0.26666666666666666,0.8833333333333333,0.8925000000000001,0.8925000000000001,0.42028985507246375,0.46164502164502164,0.46164502164502164,0.5416601731601731,55.0,C
2,zrxgp582bq,bowersj@fakecollege.ac.uk,A,Jocelyn,Bowers,62,80,28,100,89,100,59,75,3,15,10,12,4,0.89,0.7866666666666666,0.5,0.5275000000000001,0.5275000000000001,0.6376811594202898,0.6102877514642221,0.6376811594202898,0.5254710144927537,53.0,C
24,szifrnvbeh,bradfordm@fakecollege.ac.uk,A,Madeeha,Bradford,57,80,86,100,38,100,42,75,2,5,12,12,6,0.38,0.56,0.7944444444444444,0.78625,0.7944444444444444,0.5362318840579711,0.5156353450471098,0.5362318840579711,0.5536473429951692,56.0,C
0,n3l5wmshap,busbyt@fakecollege.ac.uk,A,Thea,Busby,10,80,73,100,26,100,2,75,13,12,4,14,11,0.26,0.02666666666666667,0.46111111111111114,0.4275,0.46111111111111114,0.782608695652174,0.8267557932263815,0.8267557932263815,0.4481378490790256,45.0,D
16,vucgujfdsj,buttr@fakecollege.ac.uk,A,Ravinder,Butt,3,80,27,100,88,100,33,75,14,6,6,14,5,0.88,0.44,0.16666666666666666,0.15375,0.16666666666666666,0.6521739130434783,0.6884670231729055,0.6884670231729055,0.3612067736185383,37.0,F
8,kmhlqyo7jf,coffeyd@fakecollege.ac.uk,A,Devante,Coffey,79,80,76,100,17,100,43,75,3,4,11,2,7,0.17,0.5733333333333334,0.8611111111111112,0.87375,0.87375,0.391304347826087,0.3825286478227655,0.391304347826087,0.5327246376811594,54.0,C
28,4uuokhoon0,cortesm@fakecollege.ac.uk,A,Martha,Cortes,68,80,11,100,44,100,50,75,12,5,11,1,4,0.44,0.6666666666666666,0.4388888888888889,0.48,0.48,0.4782608695652174,0.49521263050674824,0.49521263050674824,0.4292304558186911,43.0,D
18,75cxx7hthx,couchb@fakecollege.ac.uk,A,Brent,Couch,19,80,53,100,73,100,40,75,9,14,10,10,8,0.73,0.5333333333333333,0.4,0.38375000000000004,0.4,0.7391304347826086,0.7441405653170359,0.7441405653170359,0.47307550292844414,48.0,D
26,9fgbxoidr1,englishn@fakecollege.ac.uk,A,Nate,English,20,80,63,100,72,100,67,75,14,6,0,9,10,0.72,0.8933333333333333,0.46111111111111114,0.44,0.46111111111111114,0.5652173913043478,0.6297835497835498,0.6297835497835498,0.4987128427128427,50.0,C
9,qp7fzjb3jv,gomezd@fakecollege.ac.uk,A,Dione,Gomez,20,80,12,100,68,100,53,75,9,2,15,11,14,0.68,0.7066666666666667,0.17777777777777778,0.185,0.185,0.7391304347826086,0.757249809014515,0.757249809014515,0.40584160937102115,41.0,D
4,g4l8x4e8ci,hopet@fakecollege.ac.uk,A,Tomasz,Hope,44,80,29,100,88,100,10,75,15,8,4,11,12,0.88,0.13333333333333333,0.40555555555555556,0.42000000000000004,0.42000000000000004,0.7246376811594203,0.7835956200662083,0.7835956200662083,0.46041201935319587,47.0,D
27,sq3wm0fryl,jamesa@fakecollege.ac.uk,A,Alayna,James,62,80,75,100,16,100,61,75,1,11,0,4,6,0.16,0.8133333333333334,0.7611111111111111,0.7625,0.7625,0.3188405797101449,0.32199134199134194,0.32199134199134194,0.49093073593073594,50.0,C
3,jsus7aze6m,larsons@fakecollege.ac.uk,A,Safiyyah,Larson,0,80,55,100,90,100,16,75,14,11,0,7,15,0.9,0.21333333333333335,0.3055555555555556,0.275,0.3055555555555556,0.6811594202898551,0.7512121212121212,0.7512121212121212,0.4139191919191919,42.0,D
11,0lymnvvduf,leej@fakecollege.ac.uk,A,Jimmy,Lee,66,80,11,100,95,100,9,75,0,6,14,6,4,0.95,0.12,0.42777777777777776,0.46749999999999997,0.46749999999999997,0.43478260869565216,0.39708683473389356,0.43478260869565216,0.3769347826086956,38.0,F
19,whuxwj6a4b,lindsayj@fakecollege.ac.uk,A,Janice,Lindsay,62,80,60,100,8,100,68,75,1,15,2,2,1,0.08,0.9066666666666666,0.6777777777777778,0.6875,0.6875,0.30434782608695654,0.28694932518461924,0.30434782608695654,0.4609710144927537,47.0,D
25,rpxgibevhm,lozanoe@fakecollege.ac.uk,A,Ezra,Lozano,34,80,66,100,48,100,62,75,9,5,7,2,11,0.48,0.8266666666666667,0.5555555555555556,0.5425,0.5555555555555556,0.4927536231884058,0.5245607333842628,0.5245607333842628,0.48625710890416773,49.0,D
