,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
45,o5kufeikno,armitagea@fakecollege.ac.uk,B,Aubrey,Armitage,48,80,72,100,63,100,56,75,8,8,15,2,3,0.63,0.7466666666666667,0.6666666666666666,0.6599999999999999,0.6666666666666666,0.5217391304347826,0.5071632289279349,0.5217391304347826,0.5293550724637681,53.0,C
46,f7jkec8hfp,britti@fakecollege.ac.uk,B,Isaiah,Britt,54,80,74,100,12,100,34,75,9,11,8,3,2,0.12,0.4533333333333333,0.7111111111111111,0.7075,0.7111111111111111,0.4782608695652174,0.48061115355233,0.48061115355233,0.4799611238434768,48.0,D
41,pvalxcqy0v,bushs@fakecollege.ac.uk,B,Shania,Bush,18,80,80,100,79,100,43,75,10,7,0,9,2,0.79,0.5733333333333334,0.5444444444444444,0.5125000000000001,0.5444444444444444,0.4057971014492754,0.43705627705627703,0.43705627705627703,0.44572799422799425,45.0,D
47,nc6hchwzis,cabreraz@fakecollege.ac.uk,B,Zakariyah,Cabrera,28,80,14,100,46,100,47,75,9,2,9,5,8,0.46,0.6266666666666667,0.23333333333333334,0.245,0.245,0.4782608695652174,0.5009472880061115,0.5009472880061115,0.33395085306850014,34.0,F
33,dmmocp5yhc,callahana@fakecollege.ac.uk,B,Aimee,Callahan,72,80,26,100,87,100,50,75,8,2,10,0,14,0.87,0.6666666666666666,0.5444444444444444,0.5800000000000001,0.5800000000000001,0.4927536231884058,0.5231016042780748,0.5231016042780748,0.49909714795008914,50.0,C
63,acvhgy8bc5,dalbyk@fakecollege.ac.uk,B,Kishan,Dalby,61,80,74,100,55,100,13,75,13,3,8,7,7,0.55,0.17333333333333334,0.75,0.75125,0.75125,0.5507246376811594,0.5871479500891266,0.5871479500891266,0.5214777183600713,53.0,C
38,ki8qpbimzx,daltona@fakecollege.ac.uk,B,Aleyna,Dalton,26,80,23,100,55,100,35,75,11,10,10,7,2,0.55,0.4666666666666667,0.2722222222222222,0.2775,0.2775,0.5797101449275363,0.584313725490196,0.584313725490196,0.3604607843137255,37.0,F
49,lxxs40cd7k,danielsa@fakecollege.ac.uk,B,Atticus,Daniels,40,80,13,100,67,100,64,75,10,4,3,14,8,0.67,0.8533333333333334,0.29444444444444445,0.315,0.315,0.5652173913043478,0.6037789661319073,0.6037789661319073,0.4259670231729055,43.0,D
44,bcu2ohfa5u,dawsonc@fakecollege.ac.uk,B,Courtney,Dawson,71,80,23,100,18,100,72,75,14,5,14,5,11,0.18,0.96,0.5222222222222223,0.55875,0.55875,0.7101449275362319,0.7406799083269672,0.7406799083269672,0.5507039724980901,56.0,C
58,l3xgtlt2ye,dunnd@fakecollege.ac.uk,B,Devin,Dunn,6,80,73,100,55,100,53,75,7,11,6,5,0,0.55,0.7066666666666667,0.4388888888888889,0.40249999999999997,0.4388888888888889,0.42028985507246375,0.41595620066208305,0.42028985507246375,0.3998091787439614,40.0,D
