,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
86,qwlpdwzptp,averys@fakecollege.ac.uk,C,Santino,Avery,8,80,72,100,12,100,16,75,3,13,1,11,15,0.12,0.21333333333333335,0.4444444444444444,0.41,0.4444444444444444,0.6231884057971014,0.6467863509039979,0.6467863509039979,0.39914701638231054,40.0,D
69,h9yaa00kyc,batemanb@fakecollege.ac.uk,C,Brodie,Bateman,80,80,82,100,17,100,59,75,13,14,8,3,7,0.17,0.7866666666666666,0.9,0.9099999999999999,0.9099999999999999,0.6521739130434783,0.6766717596129361,0.6766717596129361,0.6541681945505475,66.0,B
104,e6sopfjrfe,bennettz@fakecollege.ac.uk,C,Zakariya,Bennett,12,80,31,100,85,100,69,75,15,13,2,3,11,0.85,0.92,0.2388888888888889,0.22999999999999998,0.2388888888888889,0.6376811594202898,0.6957804940157881,0.6957804940157881,0.43878970376029197,44.0,D
64,sxroqrevap,bobm@fakecollege.ac.uk,C,Millie-Mae,Bob,37,80,20,100,67,100,13,75,7,9,6,14,12,0.67,0.17333333333333334,0.31666666666666665,0.33125000000000004,0.33125000000000004,0.6956521739130435,0.717860962566845,0.717860962566845,0.3986916221033868,40.0,D
82,jgqjarufom,bonillal@fakecollege.ac.uk,C,Leonard,Bonilla,67,80,70,100,52,100,4,75,7,12,0,12,1,0.52,0.05333333333333334,0.7611111111111111,0.76875,0.76875,0.463768115942029,0.47536796536796544,0.47536796536796544,0.481443722943723,49.0,D
67,ttegqp2srz,branchu@fakecollege.ac.uk,C,Umer,Branch,40,80,88,100,26,100,52,75,7,9,10,3,5,0.26,0.6933333333333334,0.7111111111111111,0.69,0.7111111111111111,0.4927536231884058,0.4911102622867329,0.4927536231884058,0.5146038647342995,52.0,C
83,vjhkjopcy5,burrisa@fakecollege.ac.uk,C,Amna,Burris,53,80,53,100,51,100,40,75,7,3,10,13,12,0.51,0.5333333333333333,0.5888888888888889,0.59625,0.59625,0.6521739130434783,0.6706340718105425,0.6706340718105425,0.5185235548764962,52.0,C
81,zcoglqjrpj,camposc@fakecollege.ac.uk,C,Christina,Campos,10,80,17,100,62,100,55,75,10,9,14,15,13,0.62,0.7333333333333333,0.15,0.14750000000000002,0.15,0.8840579710144928,0.8974764451235039,0.8974764451235039,0.4335762668703845,44.0,D
68,ihbsknxhlk,casev@fakecollege.ac.uk,C,Virginia,Case,37,80,47,100,63,100,49,75,0,15,3,13,3,0.63,0.6533333333333333,0.4666666666666667,0.46625,0.4666666666666667,0.4927536231884058,0.47100840336134453,0.4927536231884058,0.43132608695652175,44.0,D
100,nhudbl83gq,colemana@fakecollege.ac.uk,C,Ariel,Coleman,64,80,37,100,86,100,8,75,5,4,3,14,1,0.86,0.10666666666666667,0.5611111111111111,0.585,0.585,0.391304347826087,0.3962032085561497,0.3962032085561497,0.40652762923351154,41.0,D
85,h3gjmxldsq,dalys@fakecollege.ac.uk,C,Sarah-Louise,Daly,35,80,23,100,77,100,22,75,13,13,3,7,9,0.77,0.29333333333333333,0.32222222222222224,0.33375,0.33375,0.6521739130434783,0.6949910873440286,0.6949910873440286,0.4098306595365419,41.0,D
80,zwfqyhsprd,donaldsonn@fakecollege.ac.uk,C,Najma,Donaldson,21,80,71,100,27,100,1,75,11,2,12,3,8,0.27,0.013333333333333334,0.5111111111111111,0.48624999999999996,0.5111111111111111,0.5217391304347826,0.5440336134453782,0.5440336134453782,0.3824878618113912,39.0,F
