,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
137,iyojm4ienp,alleny@fakecollege.ac.uk,D,Yuvaan,Allen,31,80,59,100,76,100,35,75,15,14,4,10,13,0.76,0.4666666666666667,0.5,0.48875,0.5,0.8115942028985508,0.8659765724471606,0.8659765724471606,0.5444596384008149,55.0,C
134,3p8kmjf5sv,athertona@fakecollege.ac.uk,D,Aran,Atherton,34,80,35,100,39,100,31,75,3,2,8,11,5,0.39,0.41333333333333333,0.38333333333333336,0.38749999999999996,0.38749999999999996,0.42028985507246375,0.4158059587471352,0.42028985507246375,0.3419202898550725,35.0,F
124,tg0etgl8pb,ayersz@fakecollege.ac.uk,D,Zac,Ayers,34,80,44,100,81,100,17,75,5,4,15,3,6,0.81,0.22666666666666666,0.43333333333333335,0.4325,0.43333333333333335,0.4782608695652174,0.46357015533486123,0.4782608695652174,0.3799782608695652,38.0,F
120,neey4evula,bannisterl@fakecollege.ac.uk,D,Leroy,Bannister,47,80,51,100,52,100,60,75,0,14,12,13,9,0.52,0.8,0.5444444444444444,0.5487500000000001,0.5487500000000001,0.6956521739130435,0.6635574229691876,0.6956521739130435,0.5341956521739131,54.0,C
147,lhspjthgtn,barclayc@fakecollege.ac.uk,D,Cem,Barclay,26,80,51,100,6,100,27,75,12,6,15,8,13,0.06,0.36,0.42777777777777776,0.4175,0.42777777777777776,0.782608695652174,0.8056047873694931,0.8056047873694931,0.451792547321959,46.0,D
112,vlchtskxfl,bentone@fakecollege.ac.uk,D,Eloise,Benton,48,80,92,100,85,100,6,75,1,2,1,1,9,0.85,0.08,0.7777777777777778,0.76,0.7777777777777778,0.2028985507246377,0.22089890501655204,0.22089890501655204,0.42788078261607676,43.0,D
141,fznedtaapd,brookesa@fakecollege.ac.uk,D,Ainsley,Brookes,43,80,81,100,43,100,60,75,12,8,9,3,1,0.43,0.8,0.6888888888888889,0.6737500000000001,0.6888888888888889,0.4782608695652174,0.49025464731347085,0.49025464731347085,0.5241319497495969,53.0,C
139,qmt54xaqw2,butti@fakecollege.ac.uk,D,Isabell,Butt,29,80,8,100,50,100,42,75,4,3,9,1,5,0.5,0.56,0.20555555555555555,0.22125,0.22125,0.3188405797101449,0.3162286732874969,0.3188405797101449,0.2651521739130435,27.0,F
108,nowmgetcwp,carpentere@fakecollege.ac.uk,D,Eli,Carpenter,41,80,45,100,83,100,9,75,12,8,11,6,6,0.83,0.12,0.4777777777777778,0.48124999999999996,0.48124999999999996,0.6231884057971014,0.6399745352686528,0.6399745352686528,0.4379923605805958,44.0,D
113,kheehw8adb,chadwicks@fakecollege.ac.uk,D,Sunil,Chadwick,30,80,6,100,11,100,62,75,7,6,5,10,4,0.11,0.8266666666666667,0.2,0.2175,0.2175,0.463768115942029,0.47562006620830155,0.47562006620830155,0.31785268652915716,32.0,F
117,0x5qpnclvf,curtisc@fakecollege.ac.uk,D,Charly,Curtis,12,80,31,100,66,100,31,75,7,0,12,7,14,0.66,0.41333333333333333,0.2388888888888889,0.22999999999999998,0.2388888888888889,0.5797101449275363,0.6017825311942959,0.6017825311942959,0.3504236482471777,36.0,F
111,itzn51jbtz,dicksone@fakecollege.ac.uk,D,Ellenor,Dickson,43,80,91,100,24,100,65,75,10,5,9,5,12,0.24,0.8666666666666667,0.7444444444444445,0.72375,0.7444444444444445,0.5942028985507246,0.6257957728545964,0.6257957728545964,0.5841831763008234,59.0,C
129,t0xdzrr582,ferryr@fakecollege.ac.uk,D,Reece,Ferry,79,80,45,100,33,100,75,75,9,11,14,2,8,0.33,1.0,0.6888888888888889,0.71875,0.71875,0.6376811594202898,0.6369136745607333,0.6376811594202898,0.595304347826087,60.0,B
119,6sgzkypido,finleya@fakecollege.ac.uk,D,Amelia-Mae,Finley,66,80,33,100,32,100,20,75,13,5,15,13,6,0.32,0.26666666666666666,0.55,0.5775,0.5775,0.7536231884057971,0.765215176979883,0.765215176979883,0.5032312197606316,51.0,C
133,27z48idlt5,franksn@fakecollege.ac.uk,D,Nada,Franks,47,80,29,100,64,100,9,75,2,2,9,8,5,0.64,0.12,0.4222222222222222,0.43875,0.43875,0.37681159420289856,0.3665317035905271,0.37681159420289856,0.33254347826086955,34.0,F
116,lpvw2lutob,gomezz@fakecollege.ac.uk,D,Zhane,Gomez,65,80,61,100,74,100,25,75,4,9,1,1,3,0.74,0.3333333333333333,0.7,0.7112499999999999,0.7112499999999999,0.2608695652173913,0.2687776928953399,0.2687776928953399,0.4354666412019353,44.0,D
123,6c66ufajor,guzmang@fakecollege.ac.uk,D,Garrett,Guzman,41,80,28,100,17,100,27,75,14,14,1,10,13,0.17,0.36,0.38333333333333336,0.39625,0.39625,0.7536231884057971,0.8125006366182836,0.8125006366182836,0.4467501909854851,45.0,D
146,ysngrsgwtd,hamerb@fakecollege.ac.uk,D,Belinda,Hamer,9,80,27,100,52,100,13,75,12,8,3,15,15,0.52,0.17333333333333334,0.2,0.19125,0.2,0.7681159420289855,0.8244283167812579,0.8244283167812579,0.3706618283677107,38.0,F
138,lheb8vlp85,harveyj@fakecollege.ac.uk,D,Jaime,Harvey,47,80,4,100,5,100,75,75,8,12,6,2,10,0.05,1.0,0.2833333333333333,0.31375000000000003,0.31375000000000003,0.5507246376811594,0.5712808759867584,0.5712808759867584,0.39938426279602757,40.0,D
114,tiz79e4izz,hickmanl@fakecollege.ac.uk,D,Layla,Hickman,75,80,41,100,60,100,37,75,10,14,9,1,5,0.6,0.49333333333333335,0.6444444444444445,0.67375,0.67375,0.5652173913043478,0.5719862490450726,0.5719862490450726,0.5204292080468551,53.0,C
142,dxoakt0wrr,hollowaya@fakecollege.ac.uk,D,Anand,Holloway,35,80,57,100,6,100,45,75,9,3,5,2,5,0.06,0.6,0.5111111111111111,0.5037499999999999,0.5111111111111111,0.34782608695652173,0.3743646549528903,0.3743646549528903,0.3797538409303115,38.0,F
125,p1nc7d9e5j,hurleyb@fakecollege.ac.uk,D,Betsy,Hurley,40,80,51,100,98,100,21,75,13,7,3,7,6,0.98,0.28,0.5055555555555555,0.505,0.5055555555555555,0.5217391304347826,0.5649910873440286,0.5649910873440286,0.4487195484254308,45.0,D
135,va0gduzhm6,johnse@fakecollege.ac.uk,D,Eman,Johns,29,80,70,100,86,100,56,75,12,7,15,12,6,0.86,0.7466666666666667,0.55,0.53125,0.55,0.7536231884057971,0.759414311179017,0.759414311179017,0.5654909600203718,57.0,C
118,le6apdvmon,marriottf@fakecollege.ac.uk,D,Fletcher,Marriott,45,80,74,100,35,100,22,75,0,12,8,8,0,0.35,0.29333333333333333,0.6611111111111111,0.65125,0.6611111111111111,0.4057971014492754,0.36840336134453777,0.4057971014492754,0.4330169082125604,44.0,D
