,StudentID_x,Email Address,Group,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
161,4klmukwvmw,adamr@fakecollege.ac.uk,E,Rae,Adam,55,80,98,100,88,100,0,75,15,0,15,1,8,0.88,0.0,0.85,0.83375,0.85,0.5652173913043478,0.5968169085816145,0.5968169085816145,0.5630450725744844,57.0,C
191,fbn5cdz2ze,andradeb@fakecollege.ac.uk,E,Brandi,Andrade,69,80,30,100,39,100,1,75,1,7,1,6,2,0.39,0.013333333333333334,0.55,0.58125,0.58125,0.2463768115942029,0.24232747644512354,0.2463768115942029,0.32724637681159424,33.0,F
193,r2icmt3t3o,becka@fakecollege.ac.uk,E,Adem,Beck,55,80,53,100,88,100,38,75,9,4,14,0,2,0.88,0.5066666666666667,0.6,0.60875,0.60875,0.42028985507246375,0.4150089126559715,0.42028985507246375,0.4642536231884058,47.0,D
180,ttulhprvrm,birdp@fakecollege.ac.uk,E,Pierre,Bird,74,80,40,100,54,100,60,75,8,13,3,9,3,0.54,0.8,0.6333333333333333,0.6625000000000001,0.6625000000000001,0.5217391304347826,0.5326534250063661,0.5326534250063661,0.5317960275019099,54.0,C
162,heoy7yjz8e,blankenshiph@fakecollege.ac.uk,E,Harper-Rose,Blankenship,10,80,72,100,44,100,23,75,5,11,6,3,11,0.44,0.30666666666666664,0.45555555555555555,0.4225,0.45555555555555555,0.5217391304347826,0.5343544690603513,0.5343544690603513,0.39519522960699427,40.0,D
196,wuiazxitna,brownings@fakecollege.ac.uk,E,Shanai,Browning,60,80,27,100,30,100,40,75,9,3,11,3,1,0.3,0.5333333333333333,0.48333333333333334,0.51,0.51,0.391304347826087,0.39257193786605554,0.39257193786605554,0.39010491469315,40.0,D
153,3yjqnekd7d,burchl@fakecollege.ac.uk,E,Liya,Burch,54,80,0,100,95,100,18,75,0,2,15,9,13,0.95,0.24,0.3,0.3375,0.3375,0.5652173913043478,0.548375350140056,0.5652173913043478,0.3760652173913044,38.0,F
199,ulrf3guxya,cantrellp@fakecollege.ac.uk,E,Paolo,Cantrell,29,80,76,100,28,100,12,75,11,7,9,1,8,0.28,0.16,0.5833333333333334,0.56125,0.5833333333333334,0.5217391304347826,0.5468347338935574,0.5468347338935574,0.42738375350140057,43.0,D
176,tdpw0j6nfg,collierm@fakecollege.ac.uk,E,Madihah,Collier,5,80,89,100,63,100,25,75,7,6,8,6,8,0.63,0.3333333333333333,0.5222222222222223,0.47625,0.5222222222222223,0.5072463768115942,0.5204379933791698,0.5204379933791698,0.4298536202359732,43.0,D
189,vkdfl3ete6,corrigana@fakecollege.ac.uk,E,Antonina,Corrigan,34,80,71,100,21,100,70,75,5,14,12,9,5,0.21,0.9333333333333333,0.5833333333333334,0.5675,0.5833333333333334,0.6521739130434783,0.6306569900687548,0.6521739130434783,0.5328188405797102,54.0,C
154,zjwme94spt,delgadoc@fakecollege.ac.uk,E,Caris,Delgado,11,80,54,100,84,100,27,75,15,7,4,6,6,0.84,0.36,0.3611111111111111,0.33875,0.3611111111111111,0.5507246376811594,0.5988337153043035,0.5988337153043035,0.40209455903573554,41.0,D
183,4matqjmrky,deviner@fakecollege.ac.uk,E,Rhona,Devine,54,80,34,100,1,100,21,75,1,3,11,5,2,0.01,0.28,0.4888888888888889,0.5075000000000001,0.5075000000000001,0.3188405797101449,0.29235548764960534,0.3188405797101449,0.3271521739130435,33.0,F
194,mfostxhqkh,donnellyf@fakecollege.ac.uk,E,Franklin,Donnelly,44,80,39,100,39,100,26,75,15,12,10,11,6,0.39,0.3466666666666667,0.46111111111111114,0.47000000000000003,0.47000000000000003,0.782608695652174,0.8075171886936593,0.8075171886936593,0.48442182327476446,49.0,D
190,sxglszgq6n,espinozao@fakecollege.ac.uk,E,Opal,Espinoza,75,80,32,100,94,100,22,75,4,13,14,7,14,0.94,0.29333333333333333,0.5944444444444444,0.62875,0.62875,0.7536231884057971,0.7440998217468806,0.7536231884057971,0.5539202898550725,56.0,C
184,owlbkd6j93,felixs@fakecollege.ac.uk,E,Sanya,Felix,16,80,35,100,3,100,36,75,8,15,0,3,5,0.03,0.48,0.2833333333333333,0.275,0.2833333333333333,0.4492753623188406,0.4716450216450216,0.4716450216450216,0.30432683982683983,31.0,F
172,gj8p6iv9x2,gardinera@fakecollege.ac.uk,E,Andrew,Gardiner,57,80,68,100,64,100,75,75,10,12,6,12,13,0.64,1.0,0.6944444444444444,0.69625,0.69625,0.7681159420289855,0.8005016552075375,0.8005016552075375,0.6506504965622613,66.0,B
168,phkkaabyx6,griffithsm@fakecollege.ac.uk,E,Margo,Griffiths,1,80,70,100,37,100,15,75,2,13,2,10,2,0.37,0.2,0.39444444444444443,0.35624999999999996,0.39444444444444443,0.42028985507246375,0.40941685765215174,0.42028985507246375,0.32236473429951695,33.0,F
188,l48id2mszb,hardye@fakecollege.ac.uk,E,Etienne,Hardy,55,80,8,100,93,100,10,75,6,4,15,10,6,0.93,0.13333333333333333,0.35,0.38375,0.38375,0.5942028985507246,0.5817519735166794,0.5942028985507246,0.39159420289855074,40.0,D
166,hfqlupnzae,harrisp@fakecollege.ac.uk,E,Patience,Harris,19,80,14,100,17,100,59,75,13,3,7,5,10,0.17,0.7866666666666666,0.18333333333333332,0.18875,0.18875,0.5507246376811594,0.596811815635345,0.596811815635345,0.3417102113572702,35.0,F
198,1sb1swul5d,haworthk@fakecollege.ac.uk,E,Kaydon,Haworth,34,80,66,100,24,100,64,75,4,0,5,1,7,0.24,0.8533333333333334,0.5555555555555556,0.5425,0.5555555555555556,0.2463768115942029,0.26250318309141835,0.26250318309141835,0.39830651048298105,40.0,D
149,yyiiaz0gpj,hulls@fakecollege.ac.uk,E,Saffa,Hull,51,80,7,100,41,100,47,75,3,13,8,3,8,0.41,0.6266666666666667,0.32222222222222224,0.35375,0.35375,0.5072463768115942,0.49818691112808755,0.5072463768115942,0.37684057971014495,38.0,F
