StudentID,Name,Email Address,Group
N3L5wmsHap,Thea Busby,BusbyT@fakeCollege.ac.uk,A
Pj5zB8YssQ,Shelbie Beach,BeachS@fakeCollege.ac.uk,A
zRXGp582bQ,Jocelyn Bowers,BowersJ@fakeCollege.ac.uk,A
jSuS7Aze6M,Safiyyah Larson,LarsonS@fakeCollege.ac.uk,A
G4L8x4E8CI,Tomasz Hope,HopeT@fakeCollege.ac.uk,A
IC2RApd5Jv,Montel Mathis,MathisM@fakeCollege.ac.uk,A
h6GzGTsmqx,Jordan Moody,MoodyJ@fakeCollege.ac.uk,A
IgBySbbP67,Derren Parks,ParksD@fakeCollege.ac.uk,A
kMHlqYO7jf,Devante Coffey,CoffeyD@fakeCollege.ac.uk,A
qP7FzJB3Jv,Dione Gomez,GomezD@fakeCollege.ac.uk,A
DJbNkWyoUO,Maureen Rojas,RojasM@fakeCollege.ac.uk,A
0LymnVVdUF,Jimmy Lee,LeeJ@fakeCollege.ac.uk,A
NDwMUxzHk0,Michelle Webber,WebberM@fakeCollege.ac.uk,A
NgwdodNq0o,Kade Wolf,WolfK@fakeCollege.ac.uk,A
ZKzIH8PCCn,Adem Waters,WatersA@fakeCollege.ac.uk,A
fwbYgRtP5S,Ian Smyth,SmythI@fakeCollege.ac.uk,A
VuCguJFDsJ,Ravinder Butt,ButtR@fakeCollege.ac.uk,A
4yRQL7L8fU,Connor Partridge,PartridgeC@fakeCollege.ac.uk,A
75cxx7hthX,Brent Couch,CouchB@fakeCollege.ac.uk,A
whuxWJ6a4b,Janice Lindsay,LindsayJ@fakeCollege.ac.uk,A
59EwbSLbGN,Ellesha Macdonald,MacdonaldE@fakeCollege.ac.uk,A
JI6YAk6bJ6,Annie Payne,PayneA@fakeCollege.ac.uk,A
7PILzkL2aG,Abdur-Rahman Townsend,TownsendA@fakeCollege.ac.uk,A
O9AgqHZxlt,Lee Nielsen,NielsenL@fakeCollege.ac.uk,A
sZiFRNvBEh,Madeeha Bradford,BradfordM@fakeCollege.ac.uk,A
RpxgibEvhM,Ezra Lozano,LozanoE@fakeCollege.ac.uk,A
9fGBxoiDR1,Nate English,EnglishN@fakeCollege.ac.uk,A
sq3WM0fRYl,Alayna James,JamesA@fakeCollege.ac.uk,A
4uUokHoon0,Martha Cortes,CortesM@fakeCollege.ac.uk,A
1bn0qASSUc,Makenzie May,MayM@fakeCollege.ac.uk,A
hAkIWLz3yF,Miah Soto,SotoM@fakeCollege.ac.uk,A
5FRG4AdabC,Katie Henry,HenryK@fakeCollege.ac.uk,B
nNUNQy1y83,Darcy Harmon,HarmonD@fakeCollege.ac.uk,B
dmmoCp5yHC,Aimee Callahan,CallahanA@fakeCollege.ac.uk,B
Aj7whFd7jY,Konnor Lamb,LambK@fakeCollege.ac.uk,B
SOVmCJ1HwM,Elli Montoya,MontoyaE@fakeCollege.ac.uk,B
O7qJr34sHw,Harrison Swan,SwanH@fakeCollege.ac.uk,B
NXjRrQQwyg,Jagoda Thomas,ThomasJ@fakeCollege.ac.uk,B
KI8qpBiMZX,Aleyna Dalton,DaltonA@fakeCollege.ac.uk,B
MeybQg00Sn,Shamas Whelan,WhelanS@fakeCollege.ac.uk,B
QA10kkSgqq,Lindsay Neale,NealeL@fakeCollege.ac.uk,B
PVAlxcqY0V,Shania Bush,BushS@fakeCollege.ac.uk,B
eF68y7VH39,Ciaron Welsh,WelshC@fakeCollege.ac.uk,B
zUcZCzcZVj,Cassandra O'Quinn,O'QuinnC@fakeCollege.ac.uk,B
BCU2ohfA5U,Courtney Dawson,DawsonC@fakeCollege.ac.uk,B
o5KUfEiKNo,Aubrey Armitage,ArmitageA@fakeCollege.ac.uk,B
F7jkEc8HfP,Isaiah Britt,BrittI@fakeCollege.ac.uk,B
nc6hCHWZiS,Zakariyah Cabrera,CabreraZ@fakeCollege.ac.uk,B
MYkmgzyBLy,Jadon Peralta,PeraltaJ@fakeCollege.ac.uk,B
lxxS40CD7K,Atticus Daniels,DanielsA@fakeCollege.ac.uk,B
GginPQceMN,Jordi Powell,PowellJ@fakeCollege.ac.uk,B
fufwKvEG57,Jon-Paul Kelly,KellyJ@fakeCollege.ac.uk,B
QgYQtmJhUB,Mario Mckinney,MckinneyM@fakeCollege.ac.uk,B
p7RB3cIJmk,River Wagner,WagnerR@fakeCollege.ac.uk,B
4kuf0m1Gxk,Keaton Hackett,HackettK@fakeCollege.ac.uk,B
3JhITC9lNC,Fox Singh,SinghF@fakeCollege.ac.uk,B
jgK6Iyqrk5,Codie Stubbs,StubbsC@fakeCollege.ac.uk,B
ZX4lRvsYf8,Kie Montes,MontesK@fakeCollege.ac.uk,B
l3XGtlt2ye,Devin Dunn,DunnD@fakeCollege.ac.uk,B
qokq1alPzI,Hadley Knights,KnightsH@fakeCollege.ac.uk,B
RmHJuPxy7J,Ezekiel Rennie,RennieE@fakeCollege.ac.uk,B
H9Ovpwq4rp,Isabell Stone,StoneI@fakeCollege.ac.uk,B
p7r68T4O44,Jodie Tapia,TapiaJ@fakeCollege.ac.uk,B
AcVHgy8BC5,Kishan Dalby,DalbyK@fakeCollege.ac.uk,B
SxrOqREvap,Millie-Mae Bob,BobM@fakeCollege.ac.uk,C
C48SqLJZTn,Huma Francis,FrancisH@fakeCollege.ac.uk,C
syGAoJlev2,Ahmad Petty,PettyA@fakeCollege.ac.uk,C
TtEgQP2Srz,Umer Branch,BranchU@fakeCollege.ac.uk,C
IhbsknXHLk,Virginia Case,CaseV@fakeCollege.ac.uk,C
h9YAa00KYc,Brodie Bateman,BatemanB@fakeCollege.ac.uk,C
rDew9u0Ea9,Sachin Miles,MilesS@fakeCollege.ac.uk,C
YkFQBSFj1m,Rahma Lovell,LovellR@fakeCollege.ac.uk,C
l5iwnINhkL,Roger Green,GreenR@fakeCollege.ac.uk,C
7fMGtdBr3W,Paolo Perez,PerezP@fakeCollege.ac.uk,C
s0LCRrVViR,Tracey Wise,WiseT@fakeCollege.ac.uk,C
R1G39FE2Ck,Asiyah Wharton,WhartonA@fakeCollege.ac.uk,C
DVDx2E8K5n,Riya Mcdonald,McdonaldR@fakeCollege.ac.uk,C
RaKy4TR3hi,Penelope Guy,GuyP@fakeCollege.ac.uk,C
xi7xC08sSx,Frederic Lister,ListerF@fakeCollege.ac.uk,C
osU6WxihmA,Braydon Horner,HornerB@fakeCollege.ac.uk,C
zWfQyhSPrD,Najma Donaldson,DonaldsonN@fakeCollege.ac.uk,C
zCoGLqjRpj,Christina Campos,CamposC@fakeCollege.ac.uk,C
jgqJaRUFoM,Leonard Bonilla,BonillaL@fakeCollege.ac.uk,C
VjHKjOPcY5,Amna Burris,BurrisA@fakeCollege.ac.uk,C
THIsNT7br8,Chanice Farrell,FarrellC@fakeCollege.ac.uk,C
H3GJMxLDSQ,Sarah-Louise Daly,DalyS@fakeCollege.ac.uk,C
qWlPdwzptP,Santino Avery,AveryS@fakeCollege.ac.uk,C
TOrn0AEpXz,Skylar Mcgee,McgeeS@fakeCollege.ac.uk,C
8KrYi2F9b3,Edith Rasmussen,RasmussenE@fakeCollege.ac.uk,C
Z8GI4QN5ce,Asha Moreno,MorenoA@fakeCollege.ac.uk,C
cvkNhnjZ7y,Kayla Matthews,MatthewsK@fakeCollege.ac.uk,C
rxccjKJnb1,Caleb Schultz,SchultzC@fakeCollege.ac.uk,C
9NF8knYuQS,Riccardo Irwin,IrwinR@fakeCollege.ac.uk,C
3Jx1PiYy4l,June Fletcher,FletcherJ@fakeCollege.ac.uk,C
2kjkqTr648,Armaan Fuller,FullerA@fakeCollege.ac.uk,C
xAbbIeCe5d,Rubie Hopper,HopperR@fakeCollege.ac.uk,C
aMUCn7UNr4,Mayson Mcbride,McbrideM@fakeCollege.ac.uk,C
XXygsT4qwV,Jacqueline Whittle,WhittleJ@fakeCollege.ac.uk,C
BXPcvKyWNv,Griff Huynh,HuynhG@fakeCollege.ac.uk,C
BT2eCIlORW,Perry Tang,TangP@fakeCollege.ac.uk,C
NhuDbl83Gq,Ariel Coleman,ColemanA@fakeCollege.ac.uk,C
lGcD7R3bFh,Brenda Russo,RussoB@fakeCollege.ac.uk,C
W966WbiFyL,Christine Gentry,GentryC@fakeCollege.ac.uk,C
kAISIC9CjC,Lyla-Rose Lucas,LucasL@fakeCollege.ac.uk,C
E6soPfjrfe,Zakariya Bennett,BennettZ@fakeCollege.ac.uk,C
YXX1XbZBM8,Hamid Hart,HartH@fakeCollege.ac.uk,C
JrxyuNfVn5,Mila Richard,RichardM@fakeCollege.ac.uk,D
nfeKG8bXqy,Theodore Schmitt,SchmittT@fakeCollege.ac.uk,D
NOwMgetCwP,Eli Carpenter,CarpenterE@fakeCollege.ac.uk,D
Mk0FvmGUJG,Madison Rivera,RiveraM@fakeCollege.ac.uk,D
iVbzf5TgjE,Sahara Sweeney,SweeneyS@fakeCollege.ac.uk,D
ItzN51jbtz,Ellenor Dickson,DicksonE@fakeCollege.ac.uk,D
VLChtskXFl,Eloise Benton,BentonE@fakeCollege.ac.uk,D
kHeEHW8aDb,Sunil Chadwick,ChadwickS@fakeCollege.ac.uk,D
tiZ79e4IZz,Layla Hickman,HickmanL@fakeCollege.ac.uk,D
RHpmhWKr7y,Rebekah Merritt,MerrittR@fakeCollege.ac.uk,D
LpVw2LUtOb,Zhane Gomez,GomezZ@fakeCollege.ac.uk,D
0x5qPnClvF,Charly Curtis,CurtisC@fakeCollege.ac.uk,D
Le6apDvmon,Fletcher Marriott,MarriottF@fakeCollege.ac.uk,D
6sgzkYpiDo,Amelia-Mae Finley,FinleyA@fakeCollege.ac.uk,D
nEey4EVula,Leroy Bannister,BannisterL@fakeCollege.ac.uk,D
SW766MJWPY,Stacy Prentice,PrenticeS@fakeCollege.ac.uk,D
fFdnTZGcAS,Karina Strong,StrongK@fakeCollege.ac.uk,D
6c66UFaJor,Garrett Guzman,GuzmanG@fakeCollege.ac.uk,D
tG0eTGL8pb,Zac Ayers,AyersZ@fakeCollege.ac.uk,D
p1NC7D9e5J,Betsy Hurley,HurleyB@fakeCollege.ac.uk,D
Gj9hInBTIx,Viaan Rose,RoseV@fakeCollege.ac.uk,D
uAtbFrwAN4,Kieran Wilkins,WilkinsK@fakeCollege.ac.uk,D
OW37YMyg0t,Jayson Rowland,RowlandJ@fakeCollege.ac.uk,D
t0XdZRR582,Reece Ferry,FerryR@fakeCollege.ac.uk,D
Kc2fyNtGGM,Bessie Watt,WattB@fakeCollege.ac.uk,D
lafD4y8iId,Alessia Quintana,QuintanaA@fakeCollege.ac.uk,D
OIk2CngTp1,Jean Perez,PerezJ@fakeCollege.ac.uk,D
27z48iDLT5,Nada Franks,FranksN@fakeCollege.ac.uk,D
3P8KMjF5sV,Aran Atherton,AthertonA@fakeCollege.ac.uk,D
Va0GDUZhM6,Eman Johns,JohnsE@fakeCollege.ac.uk,D
l3cM7CelEv,Davina Santos,SantosD@fakeCollege.ac.uk,D
Iyojm4IeNP,Yuvaan Allen,AllenY@fakeCollege.ac.uk,D
lHeb8vLp85,Jaime Harvey,HarveyJ@fakeCollege.ac.uk,D
QmT54XaQW2,Isabell Butt,ButtI@fakeCollege.ac.uk,D
XET605vAxm,Niyah Ryan,RyanN@fakeCollege.ac.uk,D
fZNEdTAaPd,Ainsley Brookes,BrookesA@fakeCollege.ac.uk,D
dxoAKt0Wrr,Anand Holloway,HollowayA@fakeCollege.ac.uk,D
FDIqTuYqU6,Omer Ortiz,OrtizO@fakeCollege.ac.uk,D
9QImLLyCQC,Jada Preece,PreeceJ@fakeCollege.ac.uk,D
WZRcmbYXy6,Olivia Riggs,RiggsO@fakeCollege.ac.uk,D
YSNgrsgwTD,Belinda Hamer,HamerB@fakeCollege.ac.uk,D
lHsPjtHGTN,Cem Barclay,BarclayC@fakeCollege.ac.uk,D
mmNEtYfxrS,Jeanette Lennon,LennonJ@fakeCollege.ac.uk,E
YYIiaZ0GpJ,Saffa Hull,HullS@fakeCollege.ac.uk,E
1KaSaq5ghr,Tamera Odonnell,OdonnellT@fakeCollege.ac.uk,E
caXVqi0fVF,Nadeem Kent,KentN@fakeCollege.ac.uk,E
DzSdIS4WSU,Irving Lancaster,LancasterI@fakeCollege.ac.uk,E
3yjqneKD7D,Liya Burch,BurchL@fakeCollege.ac.uk,E
Zjwme94SPt,Caris Delgado,DelgadoC@fakeCollege.ac.uk,E
VZNQoJiRWX,Judy Stanton,StantonJ@fakeCollege.ac.uk,E
UJr8NexEih,Vivien Solomon,SolomonV@fakeCollege.ac.uk,E
gKTwMiQBDc,Kit Mcnally,McnallyK@fakeCollege.ac.uk,E
dQHXbBuG3y,Nuala Muir,MuirN@fakeCollege.ac.uk,E
5xXMdDGf97,Heather Stanley,StanleyH@fakeCollege.ac.uk,E
hbRH3e2sQI,Benny Oliver,OliverB@fakeCollege.ac.uk,E
4KlmuKWvmw,Rae Adam,AdamR@fakeCollege.ac.uk,E
heOY7yJZ8E,Harper-Rose Blankenship,BlankenshipH@fakeCollege.ac.uk,E
5HcrSFJFHp,Conal Spooner,SpoonerC@fakeCollege.ac.uk,E
JCdgxvf2Nk,Oisin Rios,RiosO@fakeCollege.ac.uk,E
iCIWlxQabI,Alessandro Rodrigues,RodriguesA@fakeCollege.ac.uk,E
HfqLUpnZAe,Patience Harris,HarrisP@fakeCollege.ac.uk,E
H5nPCNhfn6,Donna Price,PriceD@fakeCollege.ac.uk,E
PhKKAabyx6,Margo Griffiths,GriffithsM@fakeCollege.ac.uk,E
KXBqezsKa8,Lisa Mckee,MckeeL@fakeCollege.ac.uk,E
erTFleNGzC,Hubert Mcintyre,McintyreH@fakeCollege.ac.uk,E
EWX5wHKs0H,Frederic Meyer,MeyerF@fakeCollege.ac.uk,E
gJ8P6IV9x2,Andrew Gardiner,GardinerA@fakeCollege.ac.uk,E
dePv9zrXSc,Arman Shah,ShahA@fakeCollege.ac.uk,E
j1FFBpwSGk,Cecelia Kirkland,KirklandC@fakeCollege.ac.uk,E
f1lnvRRXJj,Mali Tyson,TysonM@fakeCollege.ac.uk,E
tdpW0J6nfG,Madihah Collier,CollierM@fakeCollege.ac.uk,E
Ig32NS03A5,Toyah Pena,PenaT@fakeCollege.ac.uk,E
WExzOWalOv,Nabilah Rutledge,RutledgeN@fakeCollege.ac.uk,E
UpwUzTjgjU,Rocco Salter,SalterR@fakeCollege.ac.uk,E
TTUlHprVRM,Pierre Bird,BirdP@fakeCollege.ac.uk,E
g5tBzGOFJT,Gianni Lester,LesterG@fakeCollege.ac.uk,E
sgggXSZAcN,Layla-Rose Salas,SalasL@fakeCollege.ac.uk,E
4MaTqjMrKY,Rhona Devine,DevineR@fakeCollege.ac.uk,E
OwlbKd6j93,Sanya Felix,FelixS@fakeCollege.ac.uk,E
0i1nPRE7gP,Campbell Iles,IlesC@fakeCollege.ac.uk,E
eDwEqkUg4e,Mara Ramirez,RamirezM@fakeCollege.ac.uk,E
ZaY7zAmo6F,Lily-Grace Stout,StoutL@fakeCollege.ac.uk,E
l48iD2msZb,Etienne Hardy,HardyE@fakeCollege.ac.uk,E
VkdFl3eTe6,Antonina Corrigan,CorriganA@fakeCollege.ac.uk,E
sxGlSZGq6n,Opal Espinoza,EspinozaO@fakeCollege.ac.uk,E
fbn5CDZ2ze,Brandi Andrade,AndradeB@fakeCollege.ac.uk,E
VmU90W74m7,Theodor Lowery,LoweryT@fakeCollege.ac.uk,E
r2IcMt3t3o,Adem Beck,BeckA@fakeCollege.ac.uk,E
mfOsTXHqKH,Franklin Donnelly,DonnellyF@fakeCollege.ac.uk,E
EFczgvKrLM,Seamus Leach,LeachS@fakeCollege.ac.uk,E
wuiazXITna,Shanai Browning,BrowningS@fakeCollege.ac.uk,E
rlUeTZhehJ,Shana Rollins,RollinsS@fakeCollege.ac.uk,E
1sb1sWUL5D,Kaydon Haworth,HaworthK@fakeCollege.ac.uk,E
uLrF3guxYa,Paolo Cantrell,CantrellP@fakeCollege.ac.uk,E
